"localID","SurveyDate","X","Year","Month","Day","Observer","Latitude","Longitude","County","State","common_name","Comments","AOU_code","EnglishFull","Genus","Species","isodate","state_name"
"23","5/15/2009","00:00.0","2009","5","15","Jeffers","NULL","NULL","Churchill","NV","Great Egret","NULL","01960","Great Egret","Ardea","alba",2009-05-15,"Nevada"
"24","5/24/2011","00:00.0","2011","5","24","Jeffers","NULL","NULL","Churchill","NV","Black-crowned Night-Heron","NULL","02020","Black-crowned Night-Heron","Nycticorax","nycticorax",2011-05-24,"Nevada"
"25","5/24/2011","00:00.0","2011","5","24","Jeffers","NULL","NULL","Churchill","NV","Great Egret","NULL","01960","Great Egret","Ardea","alba",2011-05-24,"Nevada"
"26","5/24/2011","00:00.0","2011","5","24","Jeffers","NULL","NULL","Churchill","NV","Snowy Egret","NULL","01970","Snowy Egret","Egretta","thula",2011-05-24,"Nevada"
"27","5/24/2011","00:00.0","2011","5","24","Jeffers","NULL","NULL","Churchill","NV","White-faced Ibis","NULL","01870","White-faced Ibis","Plegadis","chihi",2011-05-24,"Nevada"
"28","5/15/2009","00:00.0","2009","5","15","Jeffers","NULL","NULL","Churchill","NV","Great Blue Heron","NULL","01940","Great Blue Heron","Ardea","herodias",2009-05-15,"Nevada"
"29","6/12/2009","00:00.0","2009","6","12","Jeffers","NULL","NULL","Churchill","NV","Great Blue Heron","NULL","01940","Great Blue Heron","Ardea","herodias",2009-06-12,"Nevada"
"30","5/24/2011","00:00.0","2011","5","24","Jeffers","NULL","NULL","Churchill","NV","Great Blue Heron","NULL","01940","Great Blue Heron","Ardea","herodias",2011-05-24,"Nevada"
"31","4/6/2009","00:00.0","2009","4","6","Woods","NULL","NULL","Douglas","NV","Great Blue Heron","NULL","01940","Great Blue Heron","Ardea","herodias",2009-04-06,"Nevada"
"32","4/6/2009","00:00.0","2009","4","6","Woods","NULL","NULL","Douglas","NV","Snowy Egret","NULL","01970","Snowy Egret","Egretta","thula",2009-04-06,"Nevada"
"33","6/27/2009","00:00.0","2009","6","27","Ballard","NULL","NULL","Douglas","NV","Black-crowned Night-Heron","NULL","02020","Black-crowned Night-Heron","Nycticorax","nycticorax",2009-06-27,"Nevada"
"34","NULL","","2009","4","NULL","Cottle","NULL","NULL","Churchill","NV","Great Blue Heron","NULL","01940","Great Blue Heron","Ardea","herodias",NA,"Nevada"
"35","5/19/2010","00:00.0","2010","5","19","Bradley","NULL","NULL","Elko","NV","White-faced Ibis","NULL","01870","White-faced Ibis","Plegadis","chihi",2010-05-19,"Nevada"
"36","6/12/2009","00:00.0","2009","6","12","Jeffers","NULL","NULL","Churchill","NV","Great Blue Heron","NULL","01940","Great Blue Heron","Ardea","herodias",2009-06-12,"Nevada"
"129","6/14/2011","00:00.0","2011","6","14","Ballard","NULL","NULL","Elko","NV","Western Grebe","NULL","00010","Western Grebe","Aechmophorus","occidentalis",2011-06-14,"Nevada"
"37","6/10/2009","00:00.0","2009","6","10","Teske","NULL","NULL","Lander","NV","Black-crowned Night-Heron","NULL","02020","Black-crowned Night-Heron","Nycticorax","nycticorax",2009-06-10,"Nevada"
"38","6/10/2009","00:00.0","2009","6","10","Teske","NULL","NULL","Lander","NV","Snowy Egret","NULL","01970","Snowy Egret","Egretta","thula",2009-06-10,"Nevada"
"39","7/1/2010","00:00.0","2010","7","1","Teske","NULL","NULL","Lander","NV","Black-crowned Night-Heron","NULL","02020","Black-crowned Night-Heron","Nycticorax","nycticorax",2010-07-01,"Nevada"
"40","7/1/2010","00:00.0","2010","7","1","Teske","NULL","NULL","Lander","NV","Great Egret","NULL","01960","Great Egret","Ardea","alba",2010-07-01,"Nevada"
"41","7/1/2010","00:00.0","2010","7","1","Teske","NULL","NULL","Lander","NV","Snowy Egret","NULL","01970","Snowy Egret","Egretta","thula",2010-07-01,"Nevada"
"42","5/26/2010","00:00.0","2010","5","26","Bauman","NULL","NULL","Humboldt","NV","Great Egret","NULL","01960","Great Egret","Ardea","alba",2010-05-26,"Nevada"
"43","5/26/2010","00:00.0","2010","5","26","Bauman","NULL","NULL","Humboldt","NV","White-faced Ibis","NULL","01870","White-faced Ibis","Plegadis","chihi",2010-05-26,"Nevada"
"44","5/26/2010","00:00.0","2010","5","26","Bauman","NULL","NULL","Humboldt","NV","White-faced Ibis","NULL","01870","White-faced Ibis","Plegadis","chihi",2010-05-26,"Nevada"
"45","5/26/2010","00:00.0","2010","5","26","Bauman","NULL","NULL","Humboldt","NV","Great Egret","NULL","01960","Great Egret","Ardea","alba",2010-05-26,"Nevada"
"46","5/26/2010","00:00.0","2010","5","26","Bauman","NULL","NULL","Humboldt","NV","White-faced Ibis","NULL","01870","White-faced Ibis","Plegadis","chihi",2010-05-26,"Nevada"
"47","5/26/2010","00:00.0","2010","5","26","Bauman","NULL","NULL","Humboldt","NV","Great Egret","NULL","01960","Great Egret","Ardea","alba",2010-05-26,"Nevada"
"48","5/26/2010","00:00.0","2010","5","26","Bauman","NULL","NULL","Humboldt","NV","Black-crowned Night-Heron","NULL","02020","Black-crowned Night-Heron","Nycticorax","nycticorax",2010-05-26,"Nevada"
"49","5/26/2010","00:00.0","2010","5","26","Bauman","NULL","NULL","Humboldt","NV","White-faced Ibis","NULL","01870","White-faced Ibis","Plegadis","chihi",2010-05-26,"Nevada"
"50","5/26/2010","00:00.0","2010","5","26","Bauman","NULL","NULL","Humboldt","NV","Snowy Egret","NULL","01970","Snowy Egret","Egretta","thula",2010-05-26,"Nevada"
"51","5/26/2010","00:00.0","2010","5","26","Bauman","NULL","NULL","Humboldt","NV","White-faced Ibis","NULL","01870","White-faced Ibis","Plegadis","chihi",2010-05-26,"Nevada"
"52","5/26/2010","00:00.0","2010","5","26","Bauman","NULL","NULL","Humboldt","NV","White-faced Ibis","NULL","01870","White-faced Ibis","Plegadis","chihi",2010-05-26,"Nevada"
"53","7/16/2010","00:00.0","2010","7","16","Boyd","NULL","NULL","Elko","NV","Black Tern","NULL","00770","Black Tern","Chlidonias","niger",2010-07-16,"Nevada"
"54","5/25/2009","00:00.0","2009","5","25","Teske","NULL","NULL","Lander","NV","Great Blue Heron","NULL","01940","Great Blue Heron","Ardea","herodias",2009-05-25,"Nevada"
"55","5/25/2009","00:00.0","2009","5","25","Teske","NULL","NULL","Lander","NV","Great Egret","NULL","01960","Great Egret","Ardea","alba",2009-05-25,"Nevada"
"56","5/25/2009","00:00.0","2009","5","25","Teske","NULL","NULL","Lander","NV","Snowy Egret","NULL","01970","Snowy Egret","Egretta","thula",2009-05-25,"Nevada"
"57","6/15/2010","00:00.0","2010","6","15","Teske","NULL","NULL","Lander","NV","Black-crowned Night-Heron","NULL","02020","Black-crowned Night-Heron","Nycticorax","nycticorax",2010-06-15,"Nevada"
"58","6/15/2010","00:00.0","2010","6","15","Teske","NULL","NULL","Lander","NV","Great Blue Heron","NULL","01940","Great Blue Heron","Ardea","herodias",2010-06-15,"Nevada"
"59","6/15/2010","00:00.0","2010","6","15","Teske","NULL","NULL","Lander","NV","Great Egret","NULL","01960","Great Egret","Ardea","alba",2010-06-15,"Nevada"
"60","6/15/2010","00:00.0","2010","6","15","Teske","NULL","NULL","Lander","NV","Snowy Egret","NULL","01970","Snowy Egret","Egretta","thula",2010-06-15,"Nevada"
"61","7/13/2010","00:00.0","2010","7","13","Teske","NULL","NULL","Humboldt","NV","Black-crowned Night-Heron","NULL","02020","Black-crowned Night-Heron","Nycticorax","nycticorax",2010-07-13,"Nevada"
"62","7/13/2010","00:00.0","2010","7","13","Teske","NULL","NULL","Humboldt","NV","Cattle Egret","NULL","02001","Cattle Egret","Bubulcus","ibis",2010-07-13,"Nevada"
"63","7/13/2010","00:00.0","2010","7","13","Teske","NULL","NULL","Humboldt","NV","Snowy Egret","NULL","01970","Snowy Egret","Egretta","thula",2010-07-13,"Nevada"
"64","5/19/2010","00:00.0","2010","5","19","Bradley","NULL","NULL","Elko","NV","White-faced Ibis","NULL","01870","White-faced Ibis","Plegadis","chihi",2010-05-19,"Nevada"
"65","7/1/2010","00:00.0","2010","7","1","Teske","NULL","NULL","Lander","NV","Black-crowned Night-Heron","NULL","02020","Black-crowned Night-Heron","Nycticorax","nycticorax",2010-07-01,"Nevada"
"66","7/1/2010","00:00.0","2010","7","1","Teske","NULL","NULL","Lander","NV","Great Blue Heron","NULL","01940","Great Blue Heron","Ardea","herodias",2010-07-01,"Nevada"
"67","7/1/2010","00:00.0","2010","7","1","Teske","NULL","NULL","Lander","NV","Great Egret","NULL","01960","Great Egret","Ardea","alba",2010-07-01,"Nevada"
"68","7/1/2010","00:00.0","2010","7","1","Teske","NULL","NULL","Lander","NV","Snowy Egret","NULL","01970","Snowy Egret","Egretta","thula",2010-07-01,"Nevada"
"69","5/13/2009","00:00.0","2009","5","13","Wong","NULL","NULL","Lincoln","NV","Great Blue Heron","NULL","01940","Great Blue Heron","Ardea","herodias",2009-05-13,"Nevada"
"70","5/30/2009","00:00.0","2009","5","30","Wendland","NULL","NULL","Nye","NV","Caspian Tern","NULL","00640","Caspian Tern","Hydroprogne","caspia",2009-05-30,"Nevada"
"71","5/29/2009","00:00.0","2009","5","29","Jeffers","NULL","NULL","Churchill","NV","California Gull","NULL","00530","California Gull","Larus","californicus",2009-05-29,"Nevada"
"72","5/29/2009","00:00.0","2009","5","29","Jeffers","NULL","NULL","Churchill","NV","Caspian Tern","NULL","00640","Caspian Tern","Hydroprogne","caspia",2009-05-29,"Nevada"
"73","5/29/2009","00:00.0","2009","5","29","Jeffers","NULL","NULL","Churchill","NV","Ring-billed Gull","NULL","00540","Ring-billed Gull","Larus","delawarensis",2009-05-29,"Nevada"
"74","5/29/2009","00:00.0","2009","5","29","Jeffers","NULL","NULL","Churchill","NV","Black-crowned Night-Heron","NULL","02020","Black-crowned Night-Heron","Nycticorax","nycticorax",2009-05-29,"Nevada"
"75","5/29/2009","00:00.0","2009","5","29","Jeffers","NULL","NULL","Churchill","NV","California Gull","NULL","00530","California Gull","Larus","californicus",2009-05-29,"Nevada"
"76","5/29/2009","00:00.0","2009","5","29","Jeffers","NULL","NULL","Churchill","NV","Great Egret","NULL","01960","Great Egret","Ardea","alba",2009-05-29,"Nevada"
"77","5/29/2009","00:00.0","2009","5","29","Jeffers","NULL","NULL","Churchill","NV","Ring-billed Gull","NULL","00540","Ring-billed Gull","Larus","delawarensis",2009-05-29,"Nevada"
"78","5/29/2009","00:00.0","2009","5","29","Jeffers","NULL","NULL","Churchill","NV","Snowy Egret","NULL","01970","Snowy Egret","Egretta","thula",2009-05-29,"Nevada"
"79","4/21/2009","00:00.0","2009","4","21","Barnes","NULL","NULL","Clark","NV","Great Blue Heron","NULL","01940","Great Blue Heron","Ardea","herodias",2009-04-21,"Nevada"
"80","4/10/2009","00:00.0","2009","4","10","Barnes","NULL","NULL","Clark","NV","Great Blue Heron","NULL","01940","Great Blue Heron","Ardea","herodias",2009-04-10,"Nevada"
"81","6/20/2011","00:00.0","2011","6","20","Pietrzak","NULL","NULL","Washoe","NV","California Gull","NULL","00530","California Gull","Larus","californicus",2011-06-20,"Nevada"
"82","5/24/2009","00:00.0","2009","5","24","Withers","NULL","NULL","Washoe","NV","American White Pelican","NULL","01250","American White Pelican","Pelecanus","erythrorhynchos",2009-05-24,"Nevada"
"83","5/24/2009","00:00.0","2009","5","24","Withers","NULL","NULL","Washoe","NV","California Gull","NULL","00530","California Gull","Larus","californicus",2009-05-24,"Nevada"
"84","5/24/2009","00:00.0","2009","5","24","Withers","NULL","NULL","Washoe","NV","Double-crested Cormorant","NULL","01200","Double-crested Cormorant","Phalacrocorax","auritus",2009-05-24,"Nevada"
"85","5/24/2009","00:00.0","2009","5","24","Withers","NULL","NULL","Washoe","NV","Great Blue Heron","NULL","01940","Great Blue Heron","Ardea","herodias",2009-05-24,"Nevada"
"86","5/18/2010","00:00.0","2010","5","18","Withers","NULL","NULL","Washoe","NV","American White Pelican","NULL","01250","American White Pelican","Pelecanus","erythrorhynchos",2010-05-18,"Nevada"
"87","5/18/2010","00:00.0","2010","5","18","Withers","NULL","NULL","Washoe","NV","California Gull","NULL","00530","California Gull","Larus","californicus",2010-05-18,"Nevada"
"88","5/18/2010","00:00.0","2010","5","18","Withers","NULL","NULL","Washoe","NV","Great Blue Heron","NULL","01940","Great Blue Heron","Ardea","herodias",2010-05-18,"Nevada"
"89","6/22/2010","00:00.0","2010","6","22","Withers","NULL","NULL","Washoe","NV","Double-crested Cormorant","NULL","01200","Double-crested Cormorant","Phalacrocorax","auritus",2010-06-22,"Nevada"
"90","5/26/2010","00:00.0","2010","5","26","Bauman","NULL","NULL","Humboldt","NV","Black-crowned Night-Heron","NULL","02020","Black-crowned Night-Heron","Nycticorax","nycticorax",2010-05-26,"Nevada"
"185","NULL","","1983","NULL","NULL","Rawlings","NULL","NULL","Lander","NV","White-faced Ibis","NULL","01870","White-faced Ibis","Plegadis","chihi",NA,"Nevada"
"91","5/26/2010","00:00.0","2010","5","26","Bauman","NULL","NULL","Humboldt","NV","Great Blue Heron","NULL","01940","Great Blue Heron","Ardea","herodias",2010-05-26,"Nevada"
"92","5/26/2010","00:00.0","2010","5","26","Bauman","NULL","NULL","Humboldt","NV","Great Egret","NULL","01960","Great Egret","Ardea","alba",2010-05-26,"Nevada"
"93","5/27/2010","00:00.0","2010","5","27","Bauman","NULL","NULL","Humboldt","NV","White-faced Ibis","NULL","01870","White-faced Ibis","Plegadis","chihi",2010-05-27,"Nevada"
"94","5/27/2010","00:00.0","2010","5","27","Bauman","NULL","NULL","Humboldt","NV","Black-crowned Night-Heron","NULL","02020","Black-crowned Night-Heron","Nycticorax","nycticorax",2010-05-27,"Nevada"
"95","5/27/2010","00:00.0","2010","5","27","Bauman","NULL","NULL","Humboldt","NV","Great Egret","NULL","01960","Great Egret","Ardea","alba",2010-05-27,"Nevada"
"96","5/27/2010","00:00.0","2010","5","27","Bauman","NULL","NULL","Humboldt","NV","White-faced Ibis","NULL","01870","White-faced Ibis","Plegadis","chihi",2010-05-27,"Nevada"
"97","5/27/2010","00:00.0","2010","5","27","Bauman","NULL","NULL","Humboldt","NV","Black-crowned Night-Heron","NULL","02020","Black-crowned Night-Heron","Nycticorax","nycticorax",2010-05-27,"Nevada"
"98","5/27/2010","00:00.0","2010","5","27","Bauman","NULL","NULL","Humboldt","NV","Great Egret","NULL","01960","Great Egret","Ardea","alba",2010-05-27,"Nevada"
"99","5/27/2010","00:00.0","2010","5","27","Bauman","NULL","NULL","Humboldt","NV","White-faced Ibis","NULL","01870","White-faced Ibis","Plegadis","chihi",2010-05-27,"Nevada"
"100","5/26/2010","00:00.0","2010","5","26","Bauman","NULL","NULL","Humboldt","NV","White-faced Ibis","NULL","01870","White-faced Ibis","Plegadis","chihi",2010-05-26,"Nevada"
"101","5/26/2010","00:00.0","2010","5","26","Bauman","NULL","NULL","Humboldt","NV","White-faced Ibis","NULL","01870","White-faced Ibis","Plegadis","chihi",2010-05-26,"Nevada"
"102","6/29/2009","00:00.0","2009","6","29","Maples et. al","NULL","NULL","Nye","NV","White-faced Ibis","NULL","01870","White-faced Ibis","Plegadis","chihi",2009-06-29,"Nevada"
"103","6/16/2010","00:00.0","2010","6","16","Slatauski","NULL","NULL","Nye","NV","White-faced Ibis","NULL","01870","White-faced Ibis","Plegadis","chihi",2010-06-16,"Nevada"
"104","6/13/2011","00:00.0","2011","6","13","Ballard et al.","NULL","NULL","Elko","NV","Double-crested Cormorant","NULL","01200","Double-crested Cormorant","Phalacrocorax","auritus",2011-06-13,"Nevada"
"105","6/13/2011","00:00.0","2011","6","13","Ballard et al.","NULL","NULL","Elko","NV","Forster's Tern","NULL","00690","Forster's Tern","Sterna","forsteri",2011-06-13,"Nevada"
"106","6/13/2011","00:00.0","2011","6","13","Ballard et al.","NULL","NULL","Elko","NV","Black-crowned Night-Heron","NULL","02020","Black-crowned Night-Heron","Nycticorax","nycticorax",2011-06-13,"Nevada"
"107","6/13/2011","00:00.0","2011","6","13","Ballard et al.","NULL","NULL","Elko","NV","Double-crested Cormorant","NULL","01200","Double-crested Cormorant","Phalacrocorax","auritus",2011-06-13,"Nevada"
"108","6/13/2011","00:00.0","2011","6","13","Ballard et al.","NULL","NULL","Elko","NV","Forster's Tern","NULL","00690","Forster's Tern","Sterna","forsteri",2011-06-13,"Nevada"
"109","6/13/2011","00:00.0","2011","6","13","Ballard et al.","NULL","NULL","Elko","NV","White-faced Ibis","NULL","01870","White-faced Ibis","Plegadis","chihi",2011-06-13,"Nevada"
"110","6/13/2011","00:00.0","2011","6","13","Ballard et al.","NULL","NULL","Elko","NV","White-faced Ibis","NULL","01870","White-faced Ibis","Plegadis","chihi",2011-06-13,"Nevada"
"111","6/13/2011","00:00.0","2011","6","13","Ballard et al.","NULL","NULL","Elko","NV","Double-crested Cormorant","NULL","01200","Double-crested Cormorant","Phalacrocorax","auritus",2011-06-13,"Nevada"
"112","6/13/2011","00:00.0","2011","6","13","Ballard et al.","NULL","NULL","Elko","NV","Forster's Tern","NULL","00690","Forster's Tern","Sterna","forsteri",2011-06-13,"Nevada"
"113","6/13/2011","00:00.0","2011","6","13","Ballard et al.","NULL","NULL","Elko","NV","White-faced Ibis","NULL","01870","White-faced Ibis","Plegadis","chihi",2011-06-13,"Nevada"
"114","4/1/2009","00:00.0","2009","4","1","Cottle","NULL","NULL","Churchill","NV","Double-crested Cormorant","NULL","01200","Double-crested Cormorant","Phalacrocorax","auritus",2009-04-01,"Nevada"
"115","5/13/2009","00:00.0","2009","5","13","Jeffers","NULL","NULL","Churchill","NV","Double-crested Cormorant","NULL","01200","Double-crested Cormorant","Phalacrocorax","auritus",2009-05-13,"Nevada"
"116","5/13/2009","00:00.0","2009","5","13","Jeffers","NULL","NULL","Churchill","NV","Great Egret","NULL","01960","Great Egret","Ardea","alba",2009-05-13,"Nevada"
"117","5/13/2009","00:00.0","2009","5","13","Jeffers","NULL","NULL","Churchill","NV","Snowy Egret","NULL","01970","Snowy Egret","Egretta","thula",2009-05-13,"Nevada"
"118","6/12/2009","00:00.0","2009","6","12","Jeffers","NULL","NULL","Churchill","NV","Double-crested Cormorant","NULL","01200","Double-crested Cormorant","Phalacrocorax","auritus",2009-06-12,"Nevada"
"119","6/12/2009","00:00.0","2009","6","12","Jeffers","NULL","NULL","Churchill","NV","Great Egret","NULL","01960","Great Egret","Ardea","alba",2009-06-12,"Nevada"
"120","5/24/2011","00:00.0","2011","5","24","Jeffers","NULL","NULL","Churchill","NV","Great Egret","NULL","01960","Great Egret","Ardea","alba",2011-05-24,"Nevada"
"121","NULL","","2009","4","NULL","Cottle","NULL","NULL","Churchill","NV","Great Egret","NULL","01960","Great Egret","Ardea","alba",NA,"Nevada"
"122","5/19/2010","00:00.0","2010","5","19","Bradley","NULL","NULL","Elko","NV","Great Blue Heron","NULL","01940","Great Blue Heron","Ardea","herodias",2010-05-19,"Nevada"
"123","5/24/2010","00:00.0","2010","5","24","Bradley","NULL","NULL","Elko","NV","Great Blue Heron","NULL","01940","Great Blue Heron","Ardea","herodias",2010-05-24,"Nevada"
"124","7/13/2010","00:00.0","2010","7","13","Ballard","NULL","NULL","Elko","NV","Eared Grebe","NULL","00040","Eared Grebe","Podiceps","nigricollis",2010-07-13,"Nevada"
"125","7/13/2010","00:00.0","2010","7","13","Ballard","NULL","NULL","Elko","NV","Western Grebe","NULL","00010","Western Grebe","Aechmophorus","occidentalis",2010-07-13,"Nevada"
"126","6/14/2011","00:00.0","2011","6","14","Ballard","NULL","NULL","Elko","NV","Caspian Tern","NULL","00640","Caspian Tern","Hydroprogne","caspia",2011-06-14,"Nevada"
"127","6/14/2011","00:00.0","2011","6","14","Ballard","NULL","NULL","Elko","NV","Eared Grebe","NULL","00040","Eared Grebe","Podiceps","nigricollis",2011-06-14,"Nevada"
"128","6/14/2011","00:00.0","2011","6","14","Ballard","NULL","NULL","Elko","NV","Ring-billed Gull","NULL","00540","Ring-billed Gull","Larus","delawarensis",2011-06-14,"Nevada"
"130","5/19/2010","00:00.0","2010","5","19","Bradley","NULL","NULL","White Pine","NV","Black-crowned Night-Heron","NULL","02020","Black-crowned Night-Heron","Nycticorax","nycticorax",2010-05-19,"Nevada"
"131","5/19/2010","00:00.0","2010","5","19","Bradley","NULL","NULL","White Pine","NV","White-faced Ibis","NULL","01870","White-faced Ibis","Plegadis","chihi",2010-05-19,"Nevada"
"132","5/25/2010","00:00.0","2010","5","25","Bradley","NULL","NULL","Elko","NV","White-faced Ibis","NULL","01870","White-faced Ibis","Plegadis","chihi",2010-05-25,"Nevada"
"133","5/25/2010","00:00.0","2010","5","25","Bradley","NULL","NULL","Elko","NV","Black-crowned Night-Heron","NULL","02020","Black-crowned Night-Heron","Nycticorax","nycticorax",2010-05-25,"Nevada"
"134","5/25/2010","00:00.0","2010","5","25","Bradley","NULL","NULL","Elko","NV","Egret species","NULL","NULL",NA,NA,NA,2010-05-25,"Nevada"
"135","6/26/2009","00:00.0","2009","6","26","Dozet","NULL","NULL","White Pine","NV","Eared Grebe","NULL","00040","Eared Grebe","Podiceps","nigricollis",2009-06-26,"Nevada"
"136","5/28/2010","00:00.0","2010","5","28","Conner/Henderson","NULL","NULL","White Pine","NV","Eared Grebe","NULL","00040","Eared Grebe","Podiceps","nigricollis",2010-05-28,"Nevada"
"137","6/12/2009","00:00.0","2009","6","12","Jeffers","NULL","NULL","Churchill","NV","Black-crowned Night-Heron","NULL","02020","Black-crowned Night-Heron","Nycticorax","nycticorax",2009-06-12,"Nevada"
"138","6/12/2009","00:00.0","2009","6","12","Jeffers","NULL","NULL","Churchill","NV","Great Egret","NULL","01960","Great Egret","Ardea","alba",2009-06-12,"Nevada"
"139","6/12/2009","00:00.0","2009","6","12","Jeffers","NULL","NULL","Churchill","NV","White-faced Ibis","NULL","01870","White-faced Ibis","Plegadis","chihi",2009-06-12,"Nevada"
"140","5/24/2011","00:00.0","2011","5","24","Jeffers","NULL","NULL","Churchill","NV","Black-crowned Night-Heron","NULL","02020","Black-crowned Night-Heron","Nycticorax","nycticorax",2011-05-24,"Nevada"
"141","5/24/2011","00:00.0","2011","5","24","Jeffers","NULL","NULL","Churchill","NV","Great Blue Heron","NULL","01940","Great Blue Heron","Ardea","herodias",2011-05-24,"Nevada"
"142","5/24/2011","00:00.0","2011","5","24","Jeffers","NULL","NULL","Churchill","NV","Great Egret","NULL","01960","Great Egret","Ardea","alba",2011-05-24,"Nevada"
"143","5/24/2011","00:00.0","2011","5","24","Jeffers","NULL","NULL","Churchill","NV","White-faced Ibis","NULL","01870","White-faced Ibis","Plegadis","chihi",2011-05-24,"Nevada"
"144","5/24/2011","00:00.0","2011","5","24","Jeffers","NULL","NULL","Churchill","NV","Black-crowned Night-Heron","NULL","02020","Black-crowned Night-Heron","Nycticorax","nycticorax",2011-05-24,"Nevada"
"145","5/24/2011","00:00.0","2011","5","24","Jeffers","NULL","NULL","Churchill","NV","Great Egret","NULL","01960","Great Egret","Ardea","alba",2011-05-24,"Nevada"
"146","5/24/2011","00:00.0","2011","5","24","Jeffers","NULL","NULL","Churchill","NV","White-faced Ibis","NULL","01870","White-faced Ibis","Plegadis","chihi",2011-05-24,"Nevada"
"147","5/24/2011","00:00.0","2011","5","24","Jeffers","NULL","NULL","Churchill","NV","Black-crowned Night-Heron","NULL","02020","Black-crowned Night-Heron","Nycticorax","nycticorax",2011-05-24,"Nevada"
"148","5/24/2011","00:00.0","2011","5","24","Jeffers","NULL","NULL","Churchill","NV","Great Egret","NULL","01960","Great Egret","Ardea","alba",2011-05-24,"Nevada"
